rank,term,frequency,category,length,tier
1,요양기관,1115,의료기기,4,Tier1_초고빈도
2,상대가치점수,834,기타의료용어,6,Tier1_초고빈도
3,진료심사평가,554,기타의료용어,6,Tier1_초고빈도
4,의료기관,512,의료기기,4,Tier1_초고빈도
5,수가산정방법,498,기타의료용어,6,Tier1_초고빈도
6,건강보험심사평가,436,기타의료용어,8,Tier1_초고빈도
7,참고하시기,432,의료기기,5,Tier1_초고빈도
8,조혈모세포,429,해부및생리,5,Tier1_초고빈도
9,상급종합병,335,질병및증후군,5,Tier1_초고빈도
10,신의료기술,297,수술및시술,5,Tier1_초고빈도
11,신의료기,293,의료기기,4,Tier1_초고빈도
12,정밀면역검사,265,검사및진단,6,Tier1_초고빈도
13,솔리리스,207,기타의료용어,4,Tier1_초고빈도
14,스핀라자,197,기타의료용어,4,Tier1_초고빈도
15,Eculizumab,196,생물학적제제,10,Tier1_초고빈도
16,심율동전환제세동기,193,의료기기,9,Tier1_초고빈도
17,의료급여기,189,의료기기,5,Tier1_초고빈도
18,처방별적응증,168,기타의료용어,6,Tier1_초고빈도
19,의료급여기관,158,의료기기,6,Tier1_초고빈도
20,코로나바이러스감염증,157,질병및증후군,10,Tier1_초고빈도
21,임상진료지침,153,기타의료용어,6,Tier1_초고빈도
22,제세동기,151,의료기기,4,Tier1_초고빈도
23,희귀난치성질환,150,질병및증후군,7,Tier1_초고빈도
24,척추고정술,145,수술및시술,5,Tier1_초고빈도
25,신경차단술,138,수술및시술,5,Tier1_초고빈도
26,Ravulizumab,128,생물학적제제,11,Tier1_초고빈도
27,울토미리스,128,기타의료용어,5,Tier1_초고빈도
28,추간판제거술,128,수술및시술,6,Tier1_초고빈도
29,면역관용요법,123,수술및시술,6,Tier1_초고빈도
30,인정하기,116,의료기기,4,Tier1_초고빈도
31,국민안심병,113,질병및증후군,5,Tier1_초고빈도
32,요양급여의적용기,112,의료기기,8,Tier1_초고빈도
33,요양급여기,111,의료기기,5,Tier1_초고빈도
34,요양급여의적용기준및방법,106,의료기기,12,Tier1_초고빈도
35,요양급여기준,104,의료기기,6,Tier1_초고빈도
36,인공관절치환술,104,수술및시술,7,Tier1_초고빈도
37,요양급여의적용기준및방법에관,104,의료기기,14,Tier1_초고빈도
38,항암화학요법,102,수술및시술,6,Tier1_초고빈도
39,자기공명영상진단,102,의료기기,8,Tier1_초고빈도
40,지역심사평가,101,기타의료용어,6,Tier1_초고빈도
41,고주파절제술,100,수술및시술,6,Tier1_초고빈도
42,실시기관,98,의료기기,4,Tier1_초고빈도
43,심장재동기,97,의료기기,5,Tier1_초고빈도
44,보건복지부장관,93,기타의료용어,7,Tier1_초고빈도
45,진료기관,87,의료기기,4,Tier1_초고빈도
46,국민건강보험요양급여의기,86,의료기기,12,Tier1_초고빈도
47,국민건강보험요양급여의기준,86,의료기기,13,Tier1_초고빈도
48,심율동전환제세동기거치술,86,수술및시술,12,Tier1_초고빈도
49,정신보건,85,기타의료용어,4,Tier1_초고빈도
50,대상기관,84,의료기기,4,Tier1_초고빈도
51,뇌혈관질환,84,질병및증후군,5,Tier1_초고빈도
52,국민건강보험요양급여의기준에관,84,의료기기,15,Tier1_초고빈도
53,Heart Disease,83,영문의학용어,13,Tier1_초고빈도
54,추간판장애,82,질병및증후군,5,Tier1_초고빈도
55,임상전기,79,의료기기,4,Tier1_초고빈도
56,양전자방출단층촬영,78,기타의료용어,9,Tier1_초고빈도
57,응급의료기,78,의료기기,5,Tier1_초고빈도
58,졸겐스마,78,기타의료용어,4,Tier1_초고빈도
59,응급의료기관,77,의료기기,6,Tier1_초고빈도
60,임상전기생리학적검사,76,의료기기,10,Tier1_초고빈도
61,차의료급여기,76,의료기기,6,Tier1_초고빈도
62,차의료급여기관,76,의료기기,7,Tier1_초고빈도
63,세부인정기,75,의료기기,5,Tier1_초고빈도
64,세부인정기준,75,의료기기,6,Tier1_초고빈도
65,만성신부전,74,질병및증후군,5,Tier1_초고빈도
66,보호기관,71,의료기기,4,Tier1_초고빈도
67,신경뿌리병증,71,질병및증후군,6,Tier1_초고빈도
68,염기서열분석,70,의료기기,6,Tier1_초고빈도
69,선택의료급여기관,69,해부및생리,8,Tier1_초고빈도
70,응급의료관,68,기타의료용어,5,Tier1_초고빈도
71,선택의료급여기,68,해부및생리,7,Tier1_초고빈도
72,차진료기,68,의료기기,4,Tier1_초고빈도
73,차진료기관,68,의료기기,5,Tier1_초고빈도
74,심사사례지침,68,기타의료용어,6,Tier1_초고빈도
