수가코드,수가명_한글,수가명_영문,단가정보,상병코드,상병명_한글,상병명_영문,매칭타입,매칭컬럼,유사도
IER45320,(비상)자궁외임신수술-자궁각임신(권역응급의료센터·전문응급의료센터·권역외상센터),Cornual Pregnancy,2251.93,,자궁각 임신,Cornual pregnancy,exact,영문명_영문명,100
IER45321,(비상)자궁외임신수술-자궁각임신(지역응급의료센터),Cornual Pregnancy,6755.79,,자궁각 임신,Cornual pregnancy,exact,영문명_영문명,100
IER45323,(비상)자궁외임신수술-자궁각임신(권역응급의료센터·전문응급의료센터·권역외상센터·지역응급의료센터),Cornual Pregnancy,2251.93,,자궁각 임신,Cornual pregnancy,exact,영문명_영문명,100
IER45330,(비상)자궁외임신수술-자궁경관임신(권역응급의료센터·전문응급의료센터·권역외상센터),Cervical Pregnancy,1607.83,,자궁경부 임신,Cervical pregnancy,exact,영문명_영문명,100
IER45331,(비상)자궁외임신수술-자궁경관임신(지역응급의료센터),Cervical Pregnancy,4823.49,,자궁경부 임신,Cervical pregnancy,exact,영문명_영문명,100
IER45333,(비상)자궁외임신수술-자궁경관임신(권역응급의료센터·전문응급의료센터·권역외상센터·지역응급의료센터),Cervical Pregnancy,1607.83,,자궁경부 임신,Cervical pregnancy,exact,영문명_영문명,100
IER45340,(비상)자궁외임신수술-복강내임신(권역응급의료센터·전문응급의료센터·권역외상센터),Abdominal Pregnancy,2303.83,,복강임신,Abdominal pregnancy,exact,영문명_영문명,100
IER45341,(비상)자궁외임신수술-복강내임신(지역응급의료센터),Abdominal Pregnancy,6911.48,,복강임신,Abdominal pregnancy,exact,영문명_영문명,100
IER45343,(비상)자궁외임신수술-복강내임신(권역응급의료센터·전문응급의료센터·권역외상센터·지역응급의료센터),Abdominal Pregnancy,2303.83,,복강임신,Abdominal pregnancy,exact,영문명_영문명,100
N0830,용수지수술,Trigger Finger,1227.8,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830001,용수지수술,Trigger Finger,613.9,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830002,용수지수술,Trigger Finger,2701.16,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830003,용수지수술,Trigger Finger,2455.6,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830004,용수지수술,Trigger Finger,859.46,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830005,용수지수술,Trigger Finger,1841.7,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830006,용수지수술,Trigger Finger,1890.81,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830007,용수지수술,Trigger Finger,1718.92,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830008,용수지수술,Trigger Finger,1289.19,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830010,용수지수술,Trigger Finger,1841.7,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830011,용수지수술,Trigger Finger,920.85,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830050,용수지수술,Trigger Finger,1841.7,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830051,용수지수술,Trigger Finger,920.85,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830080,용수지수술,Trigger Finger,1596.14,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830081,용수지수술,Trigger Finger,798.07,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L0,용수지수술,Trigger Finger,2455.6,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L1,용수지수술,Trigger Finger,1227.8,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L2,용수지수술,Trigger Finger,3928.96,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L3,용수지수술,Trigger Finger,3683.4,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L4,용수지수술,Trigger Finger,1718.92,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L5,용수지수술,Trigger Finger,3069.5,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L6,용수지수술,Trigger Finger,2750.27,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L7,용수지수술,Trigger Finger,2578.38,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300L8,용수지수술,Trigger Finger,2148.65,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M0,용수지수술,Trigger Finger,2455.6,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M1,용수지수술,Trigger Finger,1227.8,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M2,용수지수술,Trigger Finger,3928.96,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M3,용수지수술,Trigger Finger,3683.4,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M4,용수지수술,Trigger Finger,1718.92,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M5,용수지수술,Trigger Finger,3069.5,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M6,용수지수술,Trigger Finger,2750.27,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M7,용수지수술,Trigger Finger,2578.38,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N08300M8,용수지수술,Trigger Finger,2148.65,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
N0830600,용수지수술,Trigger Finger,2455.6,,방아쇠손가락,Trigger finger,exact,영문명_영문명,100
