rank,term,frequency,category,length
1,조혈모세포,354,상세해부구조,5
2,정밀면역검사,256,전문검사진단,6
3,신의료기,205,의료기기치료재료,4
4,솔리리스,201,기타전문용어,4
5,스핀라자,193,기타전문용어,4
6,Eculizumab,190,영문약물명,10
7,건강보험심사평가,154,전문검사진단,8
8,심율동전환제세동기,136,의료기기치료재료,9
9,Ravulizumab,125,영문약물명,11
10,울토미리스,125,기타전문용어,5
11,제세동기,115,의료기기치료재료,4
12,면역관용요법,104,구체적수술시술,6
13,검사결과,101,기타전문용어,4
14,유전자검사,100,전문검사진단,5
15,희귀난치성질환,97,복합질병명,7
16,평가결과,94,기타전문용어,4
17,보험급여과,91,기타전문용어,5
18,자기공명영상진단,89,전문검사진단,8
19,코로나바이러스감염증,88,복합질병명,10
20,심장재동기,83,의료기기치료재료,5
21,인공관절치환술,79,구체적수술시술,7
22,의료급여기,78,의료기기치료재료,5
23,졸겐스마,76,기타전문용어,4
24,고주파절제술,75,구체적수술시술,6
25,추간판제거술,73,구체적수술시술,6
26,양전자방출단층촬영,72,전문검사진단,9
27,염기서열분석,67,전문검사진단,6
28,정신건강의학과,63,기타전문용어,7
29,초음파검사,61,전문검사진단,5
30,요양급여기,61,의료기기치료재료,5
31,항암화학요법,59,구체적수술시술,6
32,뇌혈관질환,59,복합질병명,5
33,치료효과,58,기타전문용어,4
34,요양급여의적용기,57,의료기기치료재료,8
35,Infliximab,56,영문약물명,10
36,세부인정기,56,의료기기치료재료,5
37,응급의료기,55,의료기기치료재료,5
38,검토결과,54,기타전문용어,4
39,에브리스디건조,51,기타전문용어,7
40,참고하시기,47,의료기기치료재료,5
41,중증난치질환,47,복합질병명,6
42,Burosumab,47,영문약물명,9
43,선택의료급여기,47,상세해부구조,7
44,크리스비타,46,기타전문용어,5
45,뇌정위적방사선,45,상세해부구조,7
46,호스피스전문기,45,의료기기치료재료,7
47,임상전기생리학적검사,44,전문검사진단,10
48,임상전기,44,의료기기치료재료,4
49,권역외상센터,44,기타전문용어,6
50,Current Therapy,43,영문복합의학용어,15
51,뇌정위적방사선수술,42,구체적수술시술,9
52,차진료기,42,의료기기치료재료,4
53,Adalimumab,41,영문약물명,10
54,인공호흡기,40,의료기기치료재료,5
55,알레르기,39,의료기기치료재료,4
56,부갑상선,39,상세해부구조,4
57,대동맥판막,38,상세해부구조,5
58,만성신부전,37,복합질병명,5
59,정신의료기,37,의료기기치료재료,5
60,심율동전환제세동기거치술,37,구체적수술시술,12
61,자궁내막,36,상세해부구조,4
62,풍선혈관성형술,35,구체적수술시술,7
63,조직병리검사,35,전문검사진단,6
64,차의료급여기,35,의료기기치료재료,6
65,류마티스관절,33,상세해부구조,6
