parent_code,child_code,hierarchy_level,is_parent,수가코드,행위명_기본,분류코드,분류단계,행위명(한글),행위명(영문),수술여부,상대가치점수,급여여부,페이지,수집일시,병원급이상단가,보건기관단가,본인부담률50/100,본인부담률80/100,본인부담률90/100,의원단가,조산원단가,중복인정여부,치과병의원단가,한방병원단가
AA100,AA100,0,True,AA100,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료",,,,,,,,1,2025-08-05T18:39:59.686547,,,,,,,,,,
AA106,AA106,0,True,AA100,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원의치과 급여>기본진료료>진찰료,가1가(5),의치과 급여>기본진료료>진찰료,"초진진찰료-치과의원, 보건의료원 내 치과",Outpatient Care-New Patient,O,166.59,급여,1,2025-08-05T18:41:12.909467,0원,"13,580원",N,N,N,0원,0원,N,"14,130원",0원
AA107,AA107,0,True,AA106,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원의치과 급여>기본진료료>진찰료,가1가(7),의치과 급여>기본진료료>진찰료,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원,Outpatient Care-New Patient,O,302.03,급여,1,2025-08-05T18:42:52.523019,0원,0원,N,N,N,0원,0원,N,"25,610원",0원
AA109,AA109,0,True,AA107,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과의치과 급여>기본진료료>진찰료",가1가(8),의치과 급여>기본진료료>진찰료,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원,Outpatient Care-New Patient,O,332.53,급여,1,2025-08-05T18:44:33.084999,0원,0원,N,N,N,0원,0원,N,"28,200원",0원
AA154,AA154,0,True,AA109,"초진진찰료-의원,보건의료원 내 의과의치과 급여>기본진료료>진찰료",가1가(6),의치과 급여>기본진료료>진찰료,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과",Outpatient Care-New Patient,O,179.23,급여,1,2025-08-05T18:46:15.209189,"13,420원",0원,N,N,N,0원,0원,N,"15,200원","15,200원"
AA155,AA155,0,True,AA154,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과의치과 급여>기본진료료>진찰료",가1가(1),의치과 급여>기본진료료>진찰료,"초진진찰료-의원,보건의료원 내 의과",Outpatient Care-New Patient,O,188.11,급여,1,2025-08-05T18:47:58.765031,0원,"15,330원",N,N,N,"15,690원",0원,N,0원,0원
AA156,AA156,0,True,AA155,초진진찰료-종합병원의치과 급여>기본진료료>진찰료,가1가(2),의치과 급여>기본진료료>진찰료,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과",Outpatient Care-New Patient,O,208.86,급여,1,2025-08-05T18:49:43.336177,"15,640원",0원,N,N,N,0원,0원,N,"17,710원","17,710원"
AA157,AA157,0,True,AA156,초진진찰료-상급종합병원의치과 급여>기본진료료>진찰료,가1가(3),의치과 급여>기본진료료>진찰료,초진진찰료-종합병원,Outpatient Care-New Patient,O,232.33,급여,1,2025-08-05T18:51:29.120451,"17,400원",0원,N,N,N,0원,0원,N,0원,0원
AB102,AB102,0,True,AB102,상급종합병원2등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,,,,,,,,2,2025-08-05T18:53:34.915526,,,,,,,,,,
AB103,AB103,0,True,AB102,상급종합병원3등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(1),의치과 급여>기본진료료>입원료,상급종합병원2등급간호관리료적용기본입원료,Inpatient Care,O,859.36,급여,2,2025-08-05T18:54:47.065056,"64,370원",0원,N,N,N,0원,0원,N,0원,0원
AB104,AB104,0,True,AB103,상급종합병원4등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(1),의치과 급여>기본진료료>입원료,상급종합병원3등급간호관리료적용기본입원료,Inpatient Care,O,781.24,급여,2,2025-08-05T18:56:25.896929,"58,510원",0원,N,N,N,0원,0원,N,0원,0원
AB105,AB105,0,True,AB104,상급종합병원5등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(1),의치과 급여>기본진료료>입원료,상급종합병원4등급간호관리료적용기본입원료,Inpatient Care,O,710.22,급여,2,2025-08-05T18:58:05.440832,"53,200원",0원,N,N,N,0원,0원,N,0원,0원
AB120,AB120,0,True,AB105,상급종합병원5인실입원료의치과 급여>기본진료료>입원료,가2가(1),의치과 급여>기본진료료>입원료,상급종합병원5등급간호관리료적용기본입원료,Inpatient Care,O,617.58,급여,2,2025-08-05T18:59:45.040953,"46,260원",0원,N,N,N,0원,0원,N,0원,0원
AB121,AB121,0,True,AB120,상급종합병원1등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원5인실입원료,Inpatient Care,O,729.87,급여,2,2025-08-05T19:01:25.303005,"54,670원",0원,N,N,N,0원,0원,N,0원,0원
AB122,AB122,0,True,AB121,상급종합병원2등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원1등급간호관리료적용5인실입원료,Inpatient Care,O,"1,228.9",급여,2,2025-08-05T19:03:06.494774,"92,040원",0원,N,N,N,0원,0원,N,0원,0원
AB123,AB123,0,True,AB122,상급종합병원3등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원2등급간호관리료적용5인실입원료,Inpatient Care,O,"1,117.18",급여,2,2025-08-05T19:04:47.554971,"83,680원",0원,N,N,N,0원,0원,N,0원,0원
AB124,AB124,0,True,AB123,상급종합병원4등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원3등급간호관리료적용5인실입원료,Inpatient Care,O,"1,015.62",급여,2,2025-08-05T19:06:29.098706,"76,070원",0원,N,N,N,0원,0원,N,0원,0원
AB125,AB125,0,True,AB124,상급종합병원5등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원4등급간호관리료적용5인실입원료,Inpatient Care,O,923.29,급여,2,2025-08-05T19:08:11.740792,"69,150원",0원,N,N,N,0원,0원,N,0원,0원
AB140,AB140,0,True,AB125,상급종합병원4인실입원료의치과 급여>기본진료료>입원료,가2나(1),의치과 급여>기본진료료>입원료,상급종합병원5등급간호관리료적용5인실입원료,Inpatient Care,O,802.86,급여,2,2025-08-05T19:09:54.711067,"60,130원",0원,N,N,N,0원,0원,N,0원,0원
AB164,AB164,0,True,AB164,상급종합병원4등급간호관리료적용3인실입원료의치과 급여>기본진료료>입원료,,,,,,,,3,2025-08-05T19:11:55.518994,,,,,,,,,,
AB165,AB165,0,True,AB164,상급종합병원5등급간호관리료적용3인실입원료의치과 급여>기본진료료>입원료,가2라(1),의치과 급여>기본진료료>입원료,상급종합병원4등급간호관리료적용3인실입원료,Inpatient Care,O,"1,363.62",급여,3,2025-08-05T19:13:07.812437,"102,140원",0원,N,N,N,0원,0원,N,0원,0원
AB170,AB170,0,True,AB165,상급종합병원2인실입원료의치과 급여>기본진료료>입원료,가2라(1),의치과 급여>기본진료료>입원료,상급종합병원5등급간호관리료적용3인실입원료,Inpatient Care,O,"1,185.76",급여,3,2025-08-05T19:14:46.811022,"88,810원",0원,N,N,N,0원,0원,N,0원,0원
