code,synonyms
"100102ACH","메시마캡슐,메자이캡슐,메폴스캡슐,아크랑캅셀,펠리스캅셀"
"100301ACH","씨앤유캡슐"
"100401BIJ","리오프로주,클로티냅주"
"100431BIJ","리오프로주,클로티냅주"
"100501ATE","명인아캄프로세이트정,환인아캄프로세이트정"
"100701ACH","글로필린캡슐,네오브론캡슐,뉴세필캡슐,대웅바이오아세브로필린캡슐100밀리그램,뮤코린캡슐,뮤코시린캡슐,뮤코시아캡슐,뮤코테인캡슐,부로필캡슐,브로니즈캡슐"
"100901ACH","에이서캡슐,엘페낙캡슐"
"100901ACS","클란자에스연질캡슐(아세클로페낙,클론자에스연질캡슐"
"100901ATB","근화아세클로페낙정,뉴마탈정,뉴세페낙정,뉴클로페낙정,대웅바이오아세클로페낙정100밀리그램,독립아세클로페낙정,동성아세클로페낙정,로페낙정,류마크로정,마이페낙정"
"100903ATR","뉴로낙CR정,뉴마탈CR정,뉴세페낙CR정,레세낙CR정,베오페낙CR정,세니탈CR정,아가펜서방정,아덴만CR서방정,아로펜CR정,아리탈CR정"
"101001ACH","대우아세메타신캅셀,류가신캡슐(아세메타신,세타신캅셀(아세메타신)(수출명:보리센신(BORISENCIN)캅셀"
"101102ATB","동인당아세피필린정250밀리그람,브론탈정,아루토파정,투수필정(아세피필린,헤스필정"
"101303ATB","넬슨아세트아미노펜정,대우아세트아미노펜정,삼남아세트아미노펜정,엔다펜정,지엘아세트아미노펜정300밀리그램,코러스아세트아미노펜정300밀리그람,파세몰정300밀리그람"
"101304ASS","세토펜현탁액,타노펜현탁액"
"101305ATB","삼남아세트아미노펜정500밀리그람,삼익아세트아미노펜정500밀리그람,세리콘정,알파아세트아미노펜정500밀리그람,이타레놀정,지엘아세트아미노펜정,타스펜정,토스판정,펜아콜정"
"101310ASY","라페론건조시럽,세토펜건조시럽,펜노미아건조시럽"
"101330ASS","세토펜현탁액,어린이타이레놀현탁액,타노펜현탁액"
"101332ASY","라페론건조시럽,세토펜건조시럽,펜노미아건조시럽"
"101401ATB","동광아세트아미노펜정160밀리그람,라페론정160밀리그람,루트펜160밀리그램정,마르디정,세토펜정,아스타펜정160밀리그람,어린이아세코트정160밀리그람,어린이용타스펜정,일성아세트아미노펜정160밀리그램,타이레놀정160밀리그람"
"101404ATB","라페론정,루트펜325밀리그램정,세토펜정,아미세타정325밀리그람,아세코트정325밀리그람,아세핀정,아스타펜정325밀리그람,아스펜에스정,엘앤씨메가펜정,일성아세트아미노펜정325밀리그램"
"101404ATR","타세놀8시간이알서방정,타이레놀8시간이알서방정325밀리그람"
"101406ATB","세토펜정,소아용게보린 아이츄정,소아용게보린아이츄정,소아용라페론정,소아용타스펜정80밀리그람,어린이용타이레놀정80밀리그람"
"101430ATR","라페론8시간이알서방정,세타펜8시간이알서방정,세토펜8시간이알서방정,써스펜8시간이알서방정,아니스펜8시간이알서방정,아세노펜이알서방정,아세트엠8시간이알서방정,엔시드8시간이알서방정,이알펜8시간서방정,타미스펜8시간이알서방정"
"101433ASS","어린이타이레놀현탁액"
"101501ATB","다이아막스정,아세타졸정"
"101502BIJ","졸라딘주사(아세타졸아미드"
"101601APD","국제엘카르니틴산,나실틸산,니세틸산,메모틸산,보령카르니틴산,안세틸산,엘카니산,엘카틴산,중외카르니틴산,카니틸산"
"101601ATB","글로세틸정,나레틸정,네오카틴정,네오틴정,노디멘치아정,뉴렌정,뉴로세틸정,뉴로카틴정,뉴로카틸정,뉴로칸정"
"101601ATE","노라틸정,니세르정,아세친정,안세틸정,엘세틴정,엘카딘정"
"101701COS","마이오콜 E,마이오콜 E주사,마이오콜E,마이오콜E주사"
"101801ACH","무코테인캅셀100밀리그람,무테린캡슐,뮤라텐캡슐,뮤코스텐캡슐,뮤테란캡슐,보령아세틸시스테인캡슐100밀리그램,시스타인캅셀100밀리그람,아세텐캡슐,튜란트캡슐"
"101802BIJ","뮤코리스주,뮤코스텐주,뮤테란주사,스파탐주,티테인주"
"101804ACH","누코미트캡슐,누코미트캡슐200밀리그람(아세틸시스테인,다세틸캡슐,독립목클린캡슐,로스테인캡슐,목테인캡슐,목틴캡슐,무테린캡슐,뮤라스텐캡슐,뮤라텐캡슐"
"101804AGN","뮤테란과립200밀리그람,세브론과립,우리들아세틸시스테인과립200밀리그람,유브론과립200밀리그람,일양바이오아세틸시스테인과립,튜란트과립"
"101805CLQ","누코미트액,뮤코레스액,보령뮤코미스트액"
"101807BIJ","뮤코스텐주,뮤테란주사"
"101808ASY","뮤코스텐시럽,세브론시럽(아세틸시스테인,튜란트시럽"
"101809BIJ","뮤코스텐주,뮤테란주사"
"101831BIJ","뮤코스텐주,뮤테란주사(수출명: Ateran,뮤테란주사(수출명:Ateran,스파탐주"
"101833BIJ","뮤코스텐주,뮤테란주사(수출명: Ateran,뮤테란주사(수출명:Ateran,스파탐주"
"101834CLQ","누코미트액,뮤코나액,뮤코레스액,보령뮤코미스트액"
"101835BIJ","뮤코스텐주,뮤테란주사(수출명: Ateran,뮤테란주사(수출명:Ateran"
"101836BIJ","뮤코스텐주,뮤테란주사(수출명: Ateran,뮤테란주사(수출명:Ateran"
"101837ASY","세브론시럽(아세틸시스테인"
"101838ASY","뮤코스텐시럽,튜란트시럽"
"101839ASY","뮤테란시럽,세브론시럽(아세틸시스테인,튜란트시럽"
"101840ASY","뮤코스텐시럽,세브론시럽(아세틸시스테인,튜란트시럽"
"101841ASY","세브론시럽(아세틸시스테인"
"101842AGN","뮤테란과립200밀리그람,미리놀과립,비알뮤코과립,세브론과립,일양바이오아세틸시스테인과립200밀리그램,팜젠아세틸시스테인과립200밀리그램"
"101843AGN","뮤세틴과립,뮤테란과립200밀리그람,이테란과립,튜란트과립"
"102901ASY","지나시드건조시럽800밀리그람"
"102902BIJ","바시로바주사,바크락스주,바크락스주250밀리그람(아시클로버)수출용:바이러스탈주250밀리그람,에크로바주(아시클로버,조비락스정주,조이렉스주,조이렉스주사액,클로바주"
"102903COO","조비락스안연고,헤르페시드안연고"
"102904ATB","국제아시클로버정,대원아시클로버정,대화아시클로버정,동아조비락스정,메가클로버정,메노바정,바시로바정,바시로정,바이락스정(아시클로버)[수출명:이노바이락스정],바이버정"
"102906CCM","고려아시클로버크림,국제아시클로버크림,녹십자아시클로버크림,대우아시클로버크림,대화아시클로버크림,메노바크림,바이버크림(아시클로버,바코시론크림,바크락스크림(아시클로버,바크로비크림"
"102906COM","바크락스연고,바크락스연고(아시클로버,씨트로비연고,우리들아시클로버연고"
"102907ATB","동아조비락스정,에크로바정400밀리그람,조이렉스정400밀리그람,진양아시클로버정"
"102930CCM","국제아시클로버크림,바크로비크림"
"102931COO","바이클로버안연고,헤르페시드안연고"
"102933CCM","국제아시클로버크림,바크로비크림"
"102934BIJ","바시로바주사,바크락스주,아시클러주,아시클린주,에크로바주(아시클로버,조비락스정주,조이렉스주사액,클로바주"
"102935CCM","고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스크림,국제아시클로버크림,대화아시클로버크림,메노바크림,바이버크림,바크락스크림(아시클로버,바크로비크림,삼공아시클로버크림,신일아시클로버크림,씨크로크림"
"102935COM","바크락스연고,씨트로비연고,팜젠아시클로버연고"
"102937CCM","국제아시클로버크림,대화아시클로버크림,바코시론크림,바크락스크림(아시클로버,삼공아시클로버크림,셀트리온아시클로버크림,안국아시클로버크림,오스틴아시클로버크림,조비락스크림,크리바크림"
"102944ASY","지나시드건조시럽800밀리그람"
"102945CCM","오스틴아시클로버크림,크라운아시클로버크림"
