제품코드,적용시작일자,급여기준,상한가,가산금,투여경로,제품명,규격,단위,업체명,분류번호,주성분코드,전문/일반,퇴장방지,의약품동등성,저가대체가산여부,예외의약품구분,임의조제불가항목,고시일자,대응코드,희귀의약품구분,판매예정일,동일 의약품,청구규격,본인부담률D(30%)여부,본인부담률A(50%)여부,본인부담률B(80%)여부,선별급여여부,변경이전약품코드,변경이후약품코드,ATC코드,ATC코드_명칭,eng_ingredient_from_benefit
050100010,2023-10-01,급여,470,,내복,아셀렉스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),1,캡슐,크리스탈지노믹스(주),114,636401ACH,전문의약품,,,,,,2022-10-25,,,,,1,,,,,,,,,polmacoxib 2mg
050100020,2023-10-01,급여,470,,내복,아셀렉스정2밀리그램(폴마콕시브)_(2mg/1정),1,정,크리스탈지노믹스(주),114,636401ATB,전문의약품,,,,,,2022-10-25,,,,,1,,,,,,,,,polmacoxib 2mg
050400011,2023-09-01,급여,1118490,,주사,"옵디보주100mg(니볼루맙,유전자재조합)_(0.1g/10mL)",10,mL/병,한국오노약품공업(주),421,638401BIJ,전문의약품,,,,,,2023-09-01,,,,,10,,,,,,,,,nivolumab 0.1g(10mg/mL)
050400021,2023-09-01,급여,279568,,주사,"옵디보주20mg(니볼루맙,유전자재조합)_(20mg/2mL)",2,mL/병,한국오노약품공업(주),421,638402BIJ,전문의약품,,,,,,2023-09-01,,,,,2,,,,,,,,,nivolumab 20mg(10mg/mL)
050400031,2023-09-01,급여,2534904,,주사,"옵디보주240mg(니볼루맙,유전자재조합)_(0.24g/24mL)",24,mL/병,한국오노약품공업주식회사,421,638403BIJ,전문의약품,,,,,,2023-09-01,,,,,24,,,,,,,,,nivolumab 0.24g(10mg/mL)
050400040,2024-01-01,급여,56023,,내복,비라토비캡슐75밀리그램(엔코라페닙)_(75mg/1캡슐),1,캡슐,한국오노약품공업주식회사,421,702301ACH,전문의약품,,,,(45),,2023-12-22,,희귀의약품,,,1,,,,,,,,,encorafenib 75mg
050500011,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(250I.U/1병)",250(1),I.U/병,박스앨타(유),339,431630BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500011,052800061,,,recombinant blood coagulation factor VIII 250I.U
050500012,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(500I.U/1병)",500(1),I.U/병,박스앨타(유),339,431631BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500012,052800062,,,recombinant blood coagulation factor VIII 500I.U
050500013,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1KI.U/1병)",1000(1),I.U/병,박스앨타(유),339,431632BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500013,052800063,,,recombinant blood coagulation factor VIII 1KI.U
050500014,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1.5KI.U/1병)",1500(1),I.U/병,박스앨타(유),339,431633BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500014,052800064,,,recombinant blood coagulation factor VIII 1.5KI.U
050500021,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(250I.U)",250(1),I.U/병,박스앨타(유),339,649701BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500021,052800051,,,"recombinant blood coagulation factor IX, nonacog gamma 250I.U"
050500022,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(500I.U)",500(1),I.U/병,박스앨타(유),339,649702BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500022,052800052,,,"recombinant blood coagulation factor IX, nonacog gamma 500I.U"
050500023,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(1000I.U)",1000(1),I.U/병,박스앨타(유),339,649703BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500023,052800053,,,"recombinant blood coagulation factor IX, nonacog gamma 1KI.U"
050500024,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(2000I.U)",2000(1),I.U/병,박스앨타(유),339,649704BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500024,052800054,,,"recombinant blood coagulation factor IX, nonacog gamma 2KI.U"
050500025,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(3000I.U)",3000(1),I.U/병,박스앨타(유),339,649705BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500025,052800055,,,"recombinant blood coagulation factor IX, nonacog gamma 3KI.U"
050700020,2016-07-01,산정불가,,,주사,보인에이.씨.디.에이액,1,mL,태창산업(주),333,380700BIJ,전문의약품,,,,,,2016-06-23,,,,,1,,,,,621600010,,,,anhydrous citric acid 7.3mg
