doc_uid,doc_key,제품코드,_eff_date,product_name_clean,제품명,업체명,분류번호,투여경로,ceiling_price,surcharge,퇴장방지,임의조제불가항목,저가대체가산여부,선별급여여부,본인부담률A(50%)여부,본인부담률B(80%)여부,본인부담률D(30%)여부,ATC코드,ingredient_code_final,ingredient_code_source
EQ8JD0,050100010-20231001,050100010,2023-10-01,아셀렉스캡슐2밀리그램,아셀렉스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),크리스탈지노믹스(주),114,내복,470,,,,,,,,,,636401ACH,apply
1BZP43P,050100020-20231001,050100020,2023-10-01,아셀렉스정2밀리그램,아셀렉스정2밀리그램(폴마콕시브)_(2mg/1정),크리스탈지노믹스(주),114,내복,470,,,,,,,,,,636401ATB,apply
Q5CTWB,050400011-20230901,050400011,2023-09-01,옵디보,"옵디보주100mg(니볼루맙,유전자재조합)_(0.1g/10mL)",한국오노약품공업(주),421,주사,1118490,,,,,,,,,,638401BIJ,apply
1JGH6XM,050400021-20230901,050400021,2023-09-01,옵디보,"옵디보주20mg(니볼루맙,유전자재조합)_(20mg/2mL)",한국오노약품공업(주),421,주사,279568,,,,,,,,,,638402BIJ,apply
1R3TEI,050400031-20230901,050400031,2023-09-01,옵디보,"옵디보주240mg(니볼루맙,유전자재조합)_(0.24g/24mL)",한국오노약품공업주식회사,421,주사,2534904,,,,,,,,,,638403BIJ,apply
YKOA6N,050400040-20240101,050400040,2024-01-01,비라토비캡슐75밀리그램,비라토비캡슐75밀리그램(엔코라페닙)_(75mg/1캡슐),한국오노약품공업주식회사,421,내복,56023,,,,,,,,,,702301ACH,apply
18XIL0M,050500011-20181001,050500011,2018-10-01,애드베이트,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(250I.U/1병)",박스앨타(유),339,주사,,0,,,,,,,,,431630BIJ,apply
KRM5LX,050500012-20181001,050500012,2018-10-01,애드베이트,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(500I.U/1병)",박스앨타(유),339,주사,,0,,,,,,,,,431631BIJ,apply
19T6WNV,050500013-20181001,050500013,2018-10-01,애드베이트,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1KI.U/1병)",박스앨타(유),339,주사,,0,,,,,,,,,431632BIJ,apply
JWYIZM,050500014-20181001,050500014,2018-10-01,애드베이트,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1.5KI.U/1병)",박스앨타(유),339,주사,,0,,,,,,,,,431633BIJ,apply
FJVY7B,050500021-20181001,050500021,2018-10-01,릭수비스,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(250I.U)",박스앨타(유),339,주사,,,,,,,,,,,649701BIJ,apply
